name,film,dob,d_award,age_award_wiki,award_d,age_award,type_award
Hattie McDaniel,Gone with the Wind,10-Jun-1895,29-Feb-40,"44 years, 264 days",1940,44.72,sup_actress
Jane Darwell,The Grapes of Wrath,15-Oct-1879,27-Feb-41,"61 years, 135 days",1941,61.37,sup_actress
Mary Astor,The Great Lie,3-May-06,26-Feb-42,"35 years, 299 days",1942,35.82,sup_actress
Teresa Wright,Mrs. Miniver,27-Oct-18,4-Mar-43,"24 years, 128 days",1943,24.35,sup_actress
Katina Paxinou,For Whom the Bell Tolls,17-Dec-1900,2-Mar-44,"43 years, 76 days",1944,43.21,sup_actress
Ethel Barrymore,None but the Lonely Heart,15-Aug-1879,15-Mar-45,"65 years, 212 days",1945,65.58,sup_actress
Anne Revere,National Velvet,25-Jun-1903,7-Mar-46,"42 years, 255 days",1946,42.7,sup_actress
Anne Baxter,The Razor's Edge,7-May-23,13-Mar-47,"23 years, 310 days",1947,23.85,sup_actress
Celeste Holm,Gentleman's Agreement,29-Apr-17,20-Mar-48,"30 years, 326 days",1948,30.89,sup_actress
Claire Trevor,Key Largo,8-Mar-10,24-Mar-49,"39 years, 16 days",1949,39.04,sup_actress
Mercedes McCambridge,All the King's Men,16-Mar-16,23-Mar-50,"34 years, 7 days",1950,34.02,sup_actress
Josephine Hull,Harvey,3-Jan-1886,29-Mar-51,"65 years, 85 days",1951,65.23,sup_actress
Kim Hunter,A Streetcar Named Desire,12-Nov-22,30-Mar-52,"29 years, 139 days",1952,29.38,sup_actress
Gloria Grahame,The Bad and the Beautiful,28-Nov-23,19-Mar-53,"29 years, 111 days",1953,29.31,sup_actress
Donna Reed,From Here to Eternity,27-Jan-21,25-Mar-54,"33 years, 57 days",1954,33.16,sup_actress
Eva Marie Saint,On the Waterfront,4-Jul-24,30-Mar-55,"30 years, 269 days",1955,30.74,sup_actress
Jo Van Fleet,East of Eden,30-Dec-14,21-Mar-56,"41 years, 82 days",1956,41.22,sup_actress
Dorothy Malone,Written on the Wind,30-Jan-25,27-Mar-57,"32 years, 56 days",1957,32.15,sup_actress
Miyoshi Umeki,Sayonara,8-May-29,26-Mar-58,"28 years, 322 days",1958,28.88,sup_actress
Wendy Hiller,Separate Tables,15-Aug-12,6-Apr-59,"46 years, 234 days",1959,46.64,sup_actress
Shelley Winters,The Diary of Anne Frank,18-Aug-20,4-Apr-60,"39 years, 230 days",1960,39.63,sup_actress
Shirley Jones,Elmer Gantry,31-Mar-34,17-Apr-61,"27 years, 17 days",1961,27.05,sup_actress
Rita Moreno,West Side Story,11-Dec-31,9-Apr-62,"30 years, 119 days",1962,30.33,sup_actress
Patty Duke,The Miracle Worker,14-Dec-46,8-Apr-63,"16 years, 115 days",1963,16.31,sup_actress
Margaret Rutherford,The V.I.P.s,11-May-1892,13-Apr-64,"71 years, 338 days",1964,71.92,sup_actress
Lila Kedrova,Zorba the Greek,9-Oct-18,5-Apr-65,"46 years, 178 days",1965,46.49,sup_actress
Shelley Winters,A Patch of Blue,18-Aug-20,18-Apr-66,"45 years, 243 days",1966,45.66,sup_actress
Sandy Dennis,Who's Afraid of Virginia Woolf,27-Apr-37,10-Apr-67,"29 years, 348 days",1967,29.95,sup_actress
Estelle Parsons,Bonnie and Clyde,20-Nov-27,10-Apr-68,"40 years, 142 days",1968,40.39,sup_actress
Ruth Gordon,Rosemary's Baby,30-Oct-1896,14-Apr-69,"72 years, 166 days",1969,72.45,sup_actress
Goldie Hawn,Cactus Flower,21-Nov-45,7-Apr-70,"24 years, 137 days",1970,24.38,sup_actress
Helen Hayes,Airport,10-Oct-1900,15-Apr-71,"70 years, 187 days",1971,70.51,sup_actress
Cloris Leachman,The Last Picture Show,30-Apr-26,10-Apr-72,"45 years, 346 days",1972,45.95,sup_actress
Eileen Heckart,Butterflies Are Free,29-Mar-19,27-Mar-73,"53 years, 363 days",1973,54,sup_actress
Tatum O'Neal,Paper Moon,5-Nov-63,2-Apr-74,"10 years, 148 days",1974,10.41,sup_actress
Ingrid Bergman,Murder on the Orient Express,29-Aug-15,8-Apr-75,"59 years, 222 days",1975,59.61,sup_actress
Lee Grant,Shampoo,31-Oct-27,29-Mar-76,"48 years, 150 days",1976,48.41,sup_actress
Beatrice Straight,Network,2-Aug-14,28-Mar-77,"62 years, 238 days",1977,62.65,sup_actress
Vanessa Redgrave,Julia,30-Jan-37,3-Apr-78,"41 years, 63 days",1978,41.17,sup_actress
Maggie Smith,California Suite,28-Dec-34,9-Apr-79,"44 years, 102 days",1979,44.28,sup_actress
Meryl Streep,Kramer vs. Kramer,22-Jun-49,14-Apr-80,"30 years, 297 days",1980,30.81,sup_actress
Mary Steenburgen,Melvin and Howard,8-Feb-53,31-Mar-81,"28 years, 51 days",1981,28.14,sup_actress
Maureen Stapleton,Reds,21-Jun-25,29-Mar-82,"56 years, 281 days",1982,56.77,sup_actress
Jessica Lange,Tootsie,20-Apr-49,11-Apr-83,"33 years, 356 days",1983,33.97,sup_actress
Linda Hunt,The Year of Living Dangerously,2-Apr-45,9-Apr-84,"39 years, 7 days",1984,39.02,sup_actress
Peggy Ashcroft,A Passage to India,22-Dec-07,25-Mar-85,"77 years, 93 days",1985,77.26,sup_actress
Anjelica Huston,Prizzi's Honor,8-Jul-51,24-Mar-86,"34 years, 259 days",1986,34.71,sup_actress
Dianne Wiest,Hannah and Her Sisters,28-Mar-48,30-Mar-87,"39 years, 2 days",1987,39,sup_actress
Olympia Dukakis,Moonstruck,20-Jun-31,11-Apr-88,"56 years, 296 days",1988,56.81,sup_actress
Geena Davis,The Accidental Tourist,21-Jan-56,27-Mar-89,"33 years, 65 days",1989,33.18,sup_actress
Brenda Fricker,My Left Foot,17-Feb-45,26-Mar-90,"45 years, 37 days",1990,45.1,sup_actress
Whoopi Goldberg,Ghost,13-Nov-55,25-Mar-91,"35 years, 132 days",1991,35.36,sup_actress
Mercedes Ruehl,The Fisher King,28-Feb-48,30-Mar-92,"44 years, 31 days",1992,44.08,sup_actress
Marisa Tomei,My Cousin Vinny,4-Dec-64,29-Mar-93,"28 years, 115 days",1993,28.31,sup_actress
Anna Paquin,The Piano,24-Jul-82,21-Mar-94,"11 years, 240 days",1994,11.66,sup_actress
Dianne Wiest,Bullets Over Broadway,28-Mar-48,27-Mar-95,"46 years, 364 days",1995,47,sup_actress
Mira Sorvino,Mighty Aphrodite,28-Sep-67,25-Mar-96,"28 years, 179 days",1996,28.49,sup_actress
Juliette Binoche,The English Patient,9-Mar-64,24-Mar-97,"33 years, 15 days",1997,33.04,sup_actress
Kim Basinger,L.A. Confidential,8-Dec-53,23-Mar-98,"44 years, 105 days",1998,44.29,sup_actress
Judi Dench,Shakespeare in Love,9-Dec-34,21-Mar-99,"64 years, 102 days",1999,64.28,sup_actress
Angelina Jolie,"Girl, Interrupted",4-Jun-75,26-Mar-00,"24 years, 296 days",2000,24.81,sup_actress
Marcia Gay Harden,Pollock,14-Aug-59,25-Mar-01,"41 years, 223 days",2001,41.61,sup_actress
Jennifer Connelly,A Beautiful Mind,12-Dec-70,24-Mar-02,"31 years, 102 days",2002,31.28,sup_actress
Catherine Zeta-Jones,Chicago,25-Sep-69,23-Mar-03,"33 years, 179 days",2003,33.49,sup_actress
Ren_e Zellweger,Cold Mountain,25-Apr-69,29-Feb-04,"34 years, 310 days",2004,34.85,sup_actress
Cate Blanchett,The Aviator,14-May-69,27-Feb-05,"35 years, 289 days",2005,35.79,sup_actress
Rachel Weisz,The Constant Gardener,7-Mar-70,5-Mar-06,"35 years, 363 days",2006,35.99,sup_actress
Jennifer Hudson,Dreamgirls,12-Sep-81,25-Feb-07,"25 years, 166 days",2007,25.45,sup_actress
Tilda Swinton,Michael Clayton,5-Nov-60,24-Feb-08,"47 years, 111 days",2008,47.3,sup_actress
Pen_lope Cruz,Vicky Cristina Barcelona,28-Apr-74,22-Feb-09,"34 years, 300 days",2009,34.82,sup_actress
Monique Imes,Precious,11-Dec-67,7-Mar-10,"42 years, 86 days",2010,42.24,sup_actress
Melissa Leo,The Fighter,14-Sep-60,27-Feb-11,"50 years, 166 days",2011,50.45,sup_actress
Octavia Spencer,The Help,25-May-70,26-Feb-12,"39 years, 277 days",2012,41.76,sup_actress
Anne Hathaway,Les Mis_rables,12-Nov-82,24-Feb-13,"30 years, 104 days",2013,30.29,sup_actress
