name,film,dob,d_award,age_award_wiki,award_d,age_award,type_award
Paul Newman,The Color of Money,26-Jan-25,30-Mar-87,"62 years, 63 days",1987,62.17,best_actor
Michael Douglas,Wall Street,25-Sep-44,11-Apr-88,"43 years, 199 days",1988,43.54,best_actor
Dustin Hoffman,Rain Man,8-Aug-37,27-Mar-89,"51 years, 231 days",1989,51.63,best_actor
Daniel Day-Lewis,My Left Foot,29-Apr-57,26-Mar-90,"32 years, 331 days",1990,32.91,best_actor
Jeremy Irons,Reversal of Fortune,19-Sep-48,25-Mar-91,"42 years, 187 days",1991,42.51,best_actor
Anthony Hopkins,The Silence of the Lambs,31-Dec-37,30-Mar-92,"54 years, 90 days",1992,54.25,best_actor
Al Pacino,Scent of a Woman,25-Apr-40,29-Mar-93,"52 years, 338 days",1993,52.93,best_actor
Tom Hanks,Philadelphia,9-Jul-56,21-Mar-94,"37 years, 255 days",1994,37.7,best_actor
Tom Hanks,Forrest Gump,9-Jul-56,27-Mar-95,"38 years, 261 days",1995,38.71,best_actor
Nicolas Cage,Leaving Las Vegas,7-Jan-64,25-Mar-96,"32 years, 78 days",1996,32.21,best_actor
Geoffrey Rush,Shine,6-Jul-51,24-Mar-97,"45 years, 261 days",1997,45.72,best_actor
Jack Nicholson,As Good as It Gets,22-Apr-37,23-Mar-98,"60 years, 335 days",1998,60.92,best_actor
Roberto Benigni,Life Is Beautiful,27-Oct-52,21-Mar-99,"46 years, 145 days",1999,46.4,best_actor
Kevin Spacey,American Beauty,26-Jul-59,26-Mar-00,"40 years, 244 days",2000,40.67,best_actor
Russell Crowe,Gladiator,7-Apr-64,25-Mar-01,"36 years, 352 days",2001,36.96,best_actor
Denzel Washington,Training Day,28-Dec-54,24-Mar-02,"47 years, 86 days",2002,47.24,best_actor
Adrien Brody,The Pianist,14-Apr-73,23-Mar-03,"29 years, 343 days",2003,29.94,best_actor
Sean Penn,Mystic River,17-Aug-60,29-Feb-04,"43 years, 196 days",2004,43.53,best_actor
Jamie Foxx,Ray,13-Dec-67,27-Feb-05,"37 years, 76 days",2005,37.21,best_actor
Philip Seymour Hoffman,Capote,23-Jul-67,5-Mar-06,"38 years, 225 days",2006,38.62,best_actor
Forest Whitaker,The Last King of Scotland,15-Jul-61,25-Feb-07,"45 years, 225 days",2007,45.62,best_actor
Daniel Day-Lewis,There Will Be Blood,29-Apr-57,24-Feb-08,"50 years, 301 days",2008,50.82,best_actor
Sean Penn,Milk,17-Aug-60,22-Feb-09,"48 years, 189 days",2009,48.52,best_actor
Jeff Bridges,Crazy Heart,4-Dec-49,7-Mar-10,"60 years, 93 days",2010,60.25,best_actor
Colin Firth,The King's Speech,10-Sep-60,27-Feb-11,"50 years, 170 days",2011,50.46,best_actor
Jean Dujardin,The Artist,19-Jun-72,26-Feb-12,"39 years, 252 days",2012,39.69,best_actor
Daniel Day-Lewis,Lincoln,29-Apr-57,24-Feb-13,"55 years, 301 days",2013,55.82,best_actor
Janet Gaynor,3 roles; see note[1],6-Oct-06,16-May-29,"22 years, 222 days",1928,22.61,best_actress
Mary Pickford,Coquette,8-Apr-1892,3-Apr-30,"37 years, 360 days",1929,37.98,best_actress
Norma Shearer,The Divorcee,10-Aug-1902,5-Nov-30,"28 years, 87 days",1930,28.24,best_actress
Marie Dressler,Min and Bill,9-Nov-1868,10-Nov-31,"63 years, 1 day",1931,63,best_actress
Helen Hayes,The Sin of Madelon Claudet,10-Oct-1900,18-Nov-32,"32 years, 39 days",1932,32.11,best_actress
Katharine Hepburn,Morning Glory,12-May-07,16-Mar-34,"26 years, 308 days",1933,26.84,best_actress
Claudette Colbert,It Happened One Night,13-Sep-1903,27-Feb-35,"31 years, 167 days",1934,31.46,best_actress
Bette Davis,Dangerous,5-Apr-08,5-Mar-36,"27 years, 335 days",1935,27.92,best_actress
Luise Rainer,The Great Ziegfeld,12-Jan-10,4-Mar-37,"27 years, 51 days",1936,27.14,best_actress
Luise Rainer,The Good Earth,12-Jan-10,10-Mar-38,"28 years, 57 days",1937,28.16,best_actress
Bette Davis,Jezebel,5-Apr-08,23-Feb-39,"30 years, 324 days",1938,30.89,best_actress
Vivien Leigh,Gone with the Wind,5-Nov-13,29-Feb-40,"26 years, 116 days",1939,26.32,best_actress
Ginger Rogers,Kitty Foyle,16-Jul-11,27-Feb-41,"29 years, 226 days",1940,29.62,best_actress
Joan Fontaine,Suspicion,22-Oct-17,26-Feb-42,"24 years, 127 days",1941,24.35,best_actress
Greer Garson,Mrs. Miniver,29-Sep-04,4-Mar-43,"38 years, 156 days",1942,38.43,best_actress
Jennifer Jones,The Song of Bernadette,2-Mar-19,2-Mar-44,"25 years, 0 days",1943,25,best_actress
Ingrid Bergman,Gaslight,29-Aug-15,15-Mar-45,"29 years, 198 days",1944,29.54,best_actress
Joan Crawford,Mildred Pierce,23-Mar-04,7-Mar-46,"41 years, 349 days",1945,41.95,best_actress
Olivia de Havilland,To Each His Own,1-Jul-16,13-Mar-47,"30 years, 255 days",1946,30.7,best_actress
Loretta Young,The Farmer's Daughter,6-Jan-13,20-Mar-48,"35 years, 74 days",1947,35.2,best_actress
Jane Wyman,Johnny Belinda,5-Jan-17,24-Mar-49,"32 years, 78 days",1948,32.21,best_actress
Olivia de Havilland,The Heiress,1-Jul-16,23-Mar-50,"33 years, 265 days",1949,33.72,best_actress
Judy Holliday,Born Yesterday,21-Jun-21,29-Mar-51,"29 years, 281 days",1950,29.77,best_actress
Vivien Leigh,A Streetcar Named Desire,5-Nov-13,20-Mar-52,"38 years, 136 days",1951,38.37,best_actress
Shirley Booth,"Come Back, Little Sheba",30-Aug-1898,19-Mar-53,"54 years, 201 days",1952,54.55,best_actress
Audrey Hepburn,Roman Holiday,4-May-29,25-Mar-54,"24 years, 325 days",1953,24.89,best_actress
Grace Kelly,The Country Girl,12-Nov-29,30-Mar-55,"25 years, 138 days",1954,25.38,best_actress
Anna Magnani,The Rose Tattoo,7-Mar-08,21-Mar-56,"48 years, 14 days",1955,48.04,best_actress
Ingrid Bergman,Anastasia,29-Aug-15,27-Mar-57,"41 years, 210 days",1956,41.58,best_actress
Joanne Woodward,The Three Faces of Eve,27-Feb-30,26-Mar-58,"28 years, 27 days",1957,28.07,best_actress
Susan Hayward,I Want to Live!,30-Jun-17,6-Apr-59,"41 years, 280 days",1958,41.77,best_actress
Simone Signoret,Room at the Top,25-Mar-21,4-Apr-60,"39 years, 10 days",1959,39.03,best_actress
Elizabeth Taylor,BUtterfield 8,27-Feb-32,17-Apr-61,"29 years, 49 days",1960,29.14,best_actress
Sophia Loren,Two Women,20-Sep-34,9-Apr-62,"27 years, 201 days",1961,27.55,best_actress
Anne Bancroft,The Miracle Worker,17-Sep-31,8-Apr-63,"31 years, 203 days",1962,31.56,best_actress
Patricia Neal,Hud,20-Jan-26,13-Apr-64,"38 years, 84 days",1963,38.23,best_actress
Julie Andrews,Mary Poppins,1-Oct-35,5-Apr-65,"29 years, 186 days",1964,29.51,best_actress
Julie Christie,Darling,14-Apr-41,18-Apr-66,"25 years, 4 days",1965,25.01,best_actress
Elizabeth Taylor,Who's Afraid of Virginia Woolf?,27-Feb-32,10-Apr-67,"35 years, 42 days",1966,35.12,best_actress
Katharine Hepburn,Guess Who's Coming to Dinner,12-May-07,10-Apr-68,"60 years, 334 days",1967,60.91,best_actress
Katharine Hepburn,The Lion in Winter,12-May-07,14-Apr-69,"61 years, 337 days",1968,61.92,best_actress
Barbra Streisand,Funny Girl,24-Apr-42,14-Apr-69,"26 years, 355 days",1969,26.97,best_actress
Maggie Smith,The Prime of Miss Jean Brodie,28-Dec-34,7-Apr-70,"35 years, 100 days",1970,35.27,best_actress
Glenda Jackson,Women in Love,9-May-36,15-Apr-71,"34 years, 341 days",1971,34.93,best_actress
Jane Fonda,Klute,21-Dec-37,10-Apr-72,"34 years, 111 days",1972,34.3,best_actress
Liza Minnelli,Cabaret,12-Mar-46,27-Mar-73,"27 years, 15 days",1973,27.04,best_actress
Glenda Jackson,A Touch of Class,9-May-36,2-Apr-74,"37 years, 328 days",1974,37.9,best_actress
Ellen Burstyn,Alice Doesn't Live Here Anymore,7-Dec-32,8-Apr-75,"42 years, 122 days",1975,42.33,best_actress
